חודש חישוב,סמל מוטב,שם מוטב,סמל מוסד,שם מוסד,תאור תפקיד,שיוך תפקיד,ספטמבר,אוקטובר,נובמבר,דצמבר,ינואר,פברואר,מרץ,אפריל,מאי,יוני,יולי,אוגיסט
3/2026,10406544,עירית כפר קרע,338210,יסודי אלחוארנה,מזכיר/ה,כללי,     .14,     .14,     .14,     .14,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,318576,אלחכים,מזכיר/ה,כללי,     .14,     .14,     .14,     .14,     .14,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,318352,כפר קרע א,מזכיר/ה,כללי,     .07,     .07,     .07,     .07,     .07,     .07,     .07,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,318188,אלמוסתקבל,מזכיר/ה,כללי,     .21,     .21,     .21,     .21,     .21,     .21,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,338210,יסודי אלחוארנה,מזכיר/ה,כללי,     .14,     .14,     .14,     .14,     .14,     .14,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,318188,אלמוסתקבל,שרת,כללי,     .68,     .68,     .68,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,318576,אלחכים,שרת,כללי,     .45,     .45,     .45,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,318352,כפר קרע א,שרת,כללי,     .23,     .23,     .23,     .23,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,318352,כפר קרע א,שרת,כללי,     .23,     .23,     .23,     .23,     .23,     .23,     .23,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,384099,אלקיאן לקשר ותקשורת,שרת,כללי,    2.30,    2.30,    2.30,    2.30,    2.30,    2.30,    2.30,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,317115,מחוננים כפר קרע,שרת,חוות חקלאיות וכו',    1.00,    1.00,    1.00,    1.00,    1.00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,348029,חט"ב אבן סינא,ספרן,סל חט"ב,     .68,     .68,     .68,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,348284,חט"ב כפר קרע ב',ספרן,סל חט"ב,     .55,     .55,     .55,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,348029,חט"ב אבן סינא,רכז חינוך חברתי,סל חט"ב,     .29,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,348284,חט"ב כפר קרע ב',רכז חינוך חברתי,סל חט"ב,     .23,     .23,     .23,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,348284,חט"ב כפר קרע ב',רכז חינוך חברתי,סל חט"ב,     .23,     .23,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע, ,רשותי,קצין ביקור סדיר ראשי,כללי,    1.50,    1.50,    1.50,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע, ,רשותי,קצין ביקור סדיר ראשי,כללי,    2.00,    2.00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,348029,חט"ב אבן סינא,עובדי סיוע,סל חט"ב,    4.56,    4.56,    4.55,    4.54,    4.54,    4.54,    4.54,     .00,     .00,     .00,     .00,     .00
